"ID";"WijkenEnBuurten";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25"
"15373";"BU06680200";"2";"1";"1";"0"
"15374";"BU06680201";"0";"0";"0";"0"
"15375";"WK066803  ";"1";"0";"1";"0"
"15376";"BU06680300";"0";"0";"0";"0"
"15377";"BU06680301";"1";"0";"1";"0"
"15378";"WK066804  ";"9";"5";"3";"1"
"15379";"BU06680400";"7";"4";"2";"1"
"15380";"BU06680401";"2";"1";"1";"0"
"15381";"WK066805  ";"6";"3";"3";"0"
"15382";"BU06680500";"5";"2";"3";"0"
"15383";"BU06680501";"1";"1";"0";"0"
"15384";"WK066806  ";"1";"1";"0";"0"
"15385";"BU06680600";"1";"1";"0";"0"
"15386";"BU06680601";"0";"0";"0";"0"
"15387";"WK066807  ";"2";"1";"1";"0"
"15388";"BU06680700";"0";"0";"0";"0"
"15389";"BU06680701";"2";"1";"1";"0"
"15390";"WK066808  ";"5";"1";"0";"4"
"15391";"BU06680800";"4";"1";"0";"3"
"15392";"BU06680801";"1";"0";"0";"1"
"15393";"GM1701    ";"45";"23";"9";"13"
"15394";"WK170100  ";"2";"0";"1";"1"
"15395";"BU17010000";"1";"0";"1";"0"
"15396";"BU17010003";"0";"0";"0";"0"
"15397";"BU17010009";"1";"0";"0";"1"
"15398";"WK170101  ";"1";"1";"0";"0"
"15399";"BU17010100";"0";"0";"0";"0"
"15400";"BU17010109";"1";"1";"0";"0"
"15401";"WK170102  ";"4";"2";"1";"1"
"15402";"BU17010200";"3";"2";"0";"1"
"15403";"BU17010209";"1";"0";"1";"0"
"15404";"WK170103  ";"2";"2";"0";"0"
"15405";"BU17010300";"2";"2";"0";"0"
"15406";"BU17010301";"0";"0";"0";"0"
"15407";"BU17010302";;;;
"15408";"BU17010303";;;;
"15409";"BU17010309";"0";"0";"0";"0"
"15410";"WK170104  ";"2";"0";"2";"0"
"15411";"BU17010400";"1";"0";"1";"0"
"15412";"BU17010401";"0";"0";"0";"0"
"15413";"BU17010409";"1";"0";"1";"0"
"15414";"WK170105  ";"0";"0";"0";"0"
"15415";"BU17010500";"0";"0";"0";"0"
"15416";"BU17010509";;;;
"15417";"WK170106  ";"0";"0";"0";"0"
"15418";"BU17010600";"0";"0";"0";"0"
"15419";"BU17010601";"0";"0";"0";"0"
"15420";"BU17010609";;;;
"15421";"WK170107  ";"0";"0";"0";"0"
"15422";"BU17010700";"0";"0";"0";"0"
"15423";"BU17010709";;;;
"15424";"WK170108  ";"10";"5";"2";"3"
"15425";"BU17010800";"6";"4";"1";"1"
"15426";"BU17010801";"0";"0";"0";"0"
"15427";"BU17010802";"0";"0";"0";"0"
"15428";"BU17010809";"4";"1";"1";"2"
"15429";"WK170109  ";"1";"0";"1";"0"
"15430";"BU17010900";"1";"0";"1";"0"
"15431";"BU17010909";"0";"0";"0";"0"
"15432";"WK170110  ";"0";"0";"0";"0"
"15433";"BU17011000";"0";"0";"0";"0"
"15434";"BU17011001";;;;
"15435";"BU17011002";"0";"0";"0";"0"
"15436";"BU17011009";;;;
"15437";"WK170111  ";"1";"0";"1";"0"
"15438";"BU17011100";"1";"0";"1";"0"
"15439";"BU17011109";"0";"0";"0";"0"
"15440";"WK170112  ";"1";"1";"0";"0"
"15441";"BU17011200";"0";"0";"0";"0"
"15442";"BU17011209";"1";"1";"0";"0"
"15443";"WK170113  ";"0";"0";"0";"0"
"15444";"BU17011300";"0";"0";"0";"0"
"15445";"BU17011309";"0";"0";"0";"0"
"15446";"WK170114  ";;;;
"15447";"BU17011400";;;;
"15448";"BU17011409";;;;
"15449";"WK170115  ";"0";"0";"0";"0"
"15450";"BU17011500";"0";"0";"0";"0"
"15451";"BU17011509";"0";"0";"0";"0"
"15452";"WK170116  ";"0";"0";"0";"0"
"15453";"BU17011600";;;;
"15454";"BU17011609";"0";"0";"0";"0"
"15455";"WK170117  ";"21";"12";"1";"8"
"15456";"BU17011709";"21";"12";"1";"8"
"15457";"GM0293    ";"49";"28";"11";"10"
"15458";"WK029300  ";"49";"28";"11";"10"
"15459";"BU02930000";"25";"13";"6";"6"
"15460";"BU02930001";"4";"1";"1";"2"
"15461";"BU02930002";"7";"7";"0";"0"
"15462";"BU02930003";"6";"3";"1";"2"
"15463";"BU02930004";"6";"4";"2";"0"
"15464";"BU02930009";"1";"0";"1";"0"
"15465";"GM1950    ";"159";"84";"35";"40"
"15466";"WK195000  ";"12";"6";"3";"3"
"15467";"BU19500000";"5";"5";"0";"0"
"15468";"BU19500001";"0";"0";"0";"0"
"15469";"BU19500002";"3";"1";"0";"2"
"15470";"BU19500004";"1";"0";"0";"1"
"15471";"BU19500005";;;;
"15472";"BU19500006";"0";"0";"0";"0"
"15473";"BU19500007";"0";"0";"0";"0"
"15474";"BU19500008";"2";"0";"2";"0"
"15475";"BU19500009";"1";"0";"1";"0"
"15476";"WK195001  ";"3";"2";"1";"0"
"15477";"BU19500100";"1";"1";"0";"0"
"15478";"BU19500101";"1";"1";"0";"0"
"15479";"BU19500108";"0";"0";"0";"0"
"15480";"BU19500109";"1";"0";"1";"0"
"15481";"WK195002  ";"19";"12";"6";"1"
"15482";"BU19500200";"10";"7";"3";"0"
"15483";"BU19500201";"0";"0";"0";"0"
"15484";"BU19500202";"6";"4";"2";"0"
"15485";"BU19500203";"0";"0";"0";"0"
"15486";"BU19500204";"0";"0";"0";"0"
"15487";"BU19500206";"0";"0";"0";"0"
"15488";"BU19500207";"0";"0";"0";"0"
"15489";"BU19500208";"1";"1";"0";"0"
"15490";"BU19500209";"2";"0";"1";"1"
"15491";"WK195003  ";"0";"0";"0";"0"
"15492";"BU19500300";"0";"0";"0";"0"
"15493";"BU19500301";;;;
"15494";"BU19500304";;;;
"15495";"BU19500306";;;;
"15496";"BU19500308";"0";"0";"0";"0"
"15497";"BU19500309";"0";"0";"0";"0"
"15498";"WK195004  ";"5";"2";"2";"1"
"15499";"BU19500400";"4";"1";"2";"1"
"15500";"BU19500401";;;;
"15501";"BU19500402";;;;
"15502";"BU19500403";"1";"1";"0";"0"
"15503";"BU19500404";;;;
"15504";"BU19500409";"0";"0";"0";"0"
"15505";"WK195005  ";"3";"1";"0";"2"
"15506";"BU19500500";"1";"1";"0";"0"
"15507";"BU19500501";"0";"0";"0";"0"
"15508";"BU19500502";"0";"0";"0";"0"
"15509";"BU19500504";"2";"0";"0";"2"
"15510";"BU19500507";"0";"0";"0";"0"
"15511";"BU19500508";"0";"0";"0";"0"
"15512";"BU19500509";"0";"0";"0";"0"
"15513";"WK195006  ";"2";"1";"1";"0"
"15514";"BU19500600";;;;
"15515";"BU19500601";"0";"0";"0";"0"
"15516";"BU19500602";"0";"0";"0";"0"
"15517";"BU19500609";"2";"1";"1";"0"
"15518";"WK195007  ";"115";"60";"22";"33"
"15519";"BU19500700";"20";"13";"4";"3"
"15520";"BU19500701";"1";"0";"1";"0"
"15521";"BU19500702";"2";"1";"0";"1"
"15522";"BU19500703";"2";"2";"0";"0"
"15523";"BU19500704";"3";"1";"2";"0"
"15524";"BU19500705";"1";"1";"0";"0"
"15525";"BU19500706";"2";"2";"0";"0"
"15526";"BU19500707";"1";"1";"0";"0"
"15527";"BU19500708";"7";"3";"3";"1"
"15528";"BU19500709";"76";"36";"12";"28"
"15529";"WK195008  ";"0";"0";"0";"0"
"15530";"BU19500808";"0";"0";"0";"0"
"15531";"BU19500809";"0";"0";"0";"0"
"15532";"WK195009  ";"0";"0";"0";"0"
"15533";"BU19500900";"0";"0";"0";"0"
"15534";"BU19500909";"0";"0";"0";"0"
"15535";"GM1783    ";"350";"196";"96";"58"
"15536";"WK178301  ";"94";"58";"23";"13"
"15537";"BU17830101";"51";"36";"9";"6"
"15538";"BU17830103";"5";"4";"1";"0"
"15539";"BU17830105";"5";"2";"1";"2"
"15540";"BU17830111";"11";"4";"6";"1"
"15541";"BU17830113";"6";"1";"2";"3"
"15542";"BU17830154";"8";"8";"0";"0"
"15543";"BU17830155";"1";"1";"0";"0"
"15544";"BU17830157";"1";"0";"1";"0"
"15545";"BU17830159";"0";"0";"0";"0"
"15546";"BU17830160";"5";"1";"3";"1"
"15547";"BU17830161";"1";"1";"0";"0"
"15548";"WK178302  ";"26";"14";"7";"5"
"15549";"BU17830201";"4";"2";"0";"2"
"15550";"BU17830207";"4";"1";"3";"0"
"15551";"BU17830211";"3";"0";"1";"2"
"15552";"BU17830251";"1";"1";"0";"0"
"15553";"BU17830253";"4";"3";"1";"0"
"15554";"BU17830256";"5";"4";"0";"1"
"15555";"BU17830257";"5";"3";"2";"0"
"15556";"WK178303  ";"22";"16";"4";"2"
"15557";"BU17830301";"11";"9";"1";"1"
"15558";"BU17830306";"2";"2";"0";"0"
"15559";"BU17830351";"4";"3";"1";"0"
"15560";"BU17830352";"5";"2";"2";"1"
"15561";"WK178304  ";"48";"22";"18";"8"
"15562";"BU17830401";"15";"9";"5";"1"
"15563";"BU17830402";"5";"2";"3";"0"
"15564";"BU17830403";"1";"0";"0";"1"
"15565";"BU17830404";"5";"1";"3";"1"
"15566";"BU17830405";"0";"0";"0";"0"
"15567";"BU17830406";"2";"0";"1";"1"
"15568";"BU17830407";"5";"2";"2";"1"
"15569";"BU17830408";"5";"3";"1";"1"
"15570";"BU17830409";"0";"0";"0";"0"
"15571";"BU17830410";"1";"0";"1";"0"
"15572";"BU17830420";"8";"5";"2";"1"
"15573";"BU17830421";"0";"0";"0";"0"
"15574";"BU17830480";"1";"0";"0";"1"
"15575";"WK178305  ";"45";"26";"12";"7"
"15576";"BU17830502";"7";"4";"3";"0"
"15577";"BU17830504";"13";"6";"4";"3"
"15578";"BU17830505";"14";"7";"5";"2"
"15579";"BU17830506";"0";"0";"0";"0"
"15580";"BU17830507";"3";"2";"0";"1"
"15581";"BU17830508";"1";"1";"0";"0"
"15582";"BU17830509";"2";"2";"0";"0"
"15583";"BU17830510";"3";"3";"0";"0"
"15584";"BU17830511";"0";"0";"0";"0"
"15585";"BU17830521";"2";"1";"0";"1"
"15586";"WK178306  ";"41";"21";"10";"10"
"15587";"BU17830601";"3";"3";"0";"0"
"15588";"BU17830602";"6";"1";"2";"3"
"15589";"BU17830606";"5";"2";"1";"2"
"15590";"BU17830607";"0";"0";"0";"0"
"15591";"BU17830608";"9";"5";"2";"2"
"15592";"BU17830609";"2";"2";"0";"0"
"15593";"BU17830610";"3";"1";"1";"1"
"15594";"BU17830611";"8";"2";"4";"2"
"15595";"BU17830612";"5";"5";"0";"0"
"15596";"WK178307  ";"37";"24";"5";"8"
"15597";"BU17830701";"10";"7";"1";"2"
"15598";"BU17830702";"1";"0";"0";"1"
"15599";"BU17830703";"3";"3";"0";"0"
"15600";"BU17830710";"9";"6";"2";"1"
"15601";"BU17830711";"4";"4";"0";"0"
"15602";"BU17830712";"7";"2";"2";"3"
"15603";"BU17830713";"0";"0";"0";"0"
"15604";"BU17830714";"3";"2";"0";"1"
"15605";"WK178308  ";"3";"3";"0";"0"
"15606";"BU17830801";"2";"2";"0";"0"
"15607";"BU17830802";"0";"0";"0";"0"
"15608";"BU17830803";"1";"1";"0";"0"
"15609";"WK178309  ";"30";"9";"16";"5"
"15610";"BU17830900";"2";"0";"2";"0"
"15611";"BU17830901";"11";"5";"5";"1"
"15612";"BU17830902";"9";"2";"3";"4"
"15613";"BU17830903";"1";"0";"1";"0"
"15614";"BU17830904";"4";"1";"3";"0"
"15615";"BU17830905";"0";"0";"0";"0"
"15616";"BU17830966";"3";"1";"2";"0"
"15617";"WK178310  ";"4";"3";"1";"0"
"15618";"BU17831001";"4";"3";"1";"0"
"15619";"GM0098    ";"95";"52";"24";"19"
"15620";"WK009800  ";"55";"34";"12";"9"
"15621";"BU00980000";"55";"34";"12";"9"
"15622";"BU00980009";"0";"0";"0";"0"
"15623";"WK009801  ";"2";"1";"1";"0"
"15624";"BU00980100";"1";"0";"1";"0"
"15625";"BU00980101";;;;
"15626";"BU00980102";"1";"1";"0";"0"
"15627";"BU00980103";;;;
"15628";"BU00980104";"0";"0";"0";"0"
"15629";"BU00980105";;;;
"15630";"BU00980106";;;;
"15631";"BU00980107";;;;
"15632";"BU00980108";"0";"0";"0";"0"
"15633";"BU00980109";;;;
"15634";"WK009802  ";"0";"0";"0";"0"
"15635";"BU00980200";"0";"0";"0";"0"
"15636";"BU00980201";"0";"0";"0";"0"
"15637";"BU00980208";"0";"0";"0";"0"
"15638";"BU00980209";;;;
"15639";"WK009803  ";"1";"0";"1";"0"
"15640";"BU00980300";"0";"0";"0";"0"
"15641";"BU00980301";"1";"0";"1";"0"
"15642";"BU00980302";"0";"0";"0";"0"
"15643";"BU00980307";;;;
"15644";"BU00980308";"0";"0";"0";"0"
"15645";"BU00980309";"0";"0";"0";"0"
"15646";"WK009804  ";"0";"0";"0";"0"
"15647";"BU00980400";"0";"0";"0";"0"
"15648";"BU00980401";"0";"0";"0";"0"
"15649";"BU00980402";;;;
"15650";"BU00980408";;;;
"15651";"BU00980409";"0";"0";"0";"0"
"15652";"WK009805  ";"3";"2";"1";"0"
"15653";"BU00980500";"2";"1";"1";"0"
"15654";"BU00980501";"1";"1";"0";"0"
"15655";"BU00980508";;;;
"15656";"BU00980509";"0";"0";"0";"0"
"15657";"WK009806  ";"2";"2";"0";"0"
"15658";"BU00980600";"0";"0";"0";"0"
"15659";"BU00980601";"1";"1";"0";"0"
"15660";"BU00980602";"0";"0";"0";"0"
"15661";"BU00980607";"1";"1";"0";"0"
"15662";"BU00980608";;;;
"15663";"BU00980609";;;;
"15664";"WK009807  ";"4";"2";"1";"1"
"15665";"BU00980700";"3";"1";"1";"1"
"15666";"BU00980701";"1";"1";"0";"0"
"15667";"BU00980702";"0";"0";"0";"0"
"15668";"BU00980707";"0";"0";"0";"0"
"15669";"BU00980708";;;;
"15670";"BU00980709";"0";"0";"0";"0"
"15671";"WK009808  ";"28";"11";"8";"9"
"15672";"BU00980800";"19";"9";"4";"6"
"15673";"BU00980801";"2";"0";"0";"2"
"15674";"BU00980807";"4";"1";"2";"1"
"15675";"BU00980808";"3";"1";"2";"0"
